time_s,vehicle_heading_deg,raw_mag_heading_deg,tilt_mag_heading_deg,aligned_mag_heading_deg,heading_error_deg,mag_norm_uT,gravity_norm
5002.51,-45.010299999999916,-76.02798944183783,-75.985403637704,-115.92558669835373,-70.91528669835381,37.17827456996895,9.80655889290428
5002.61,-45.016999999992095,-76.15379158817348,-76.09224317086279,-116.03242623151252,-71.01542623152042,37.113197113695286,9.806581824978569
5002.71,-45.126700000002984,-75.39565553464222,-75.38082362266745,-115.3210066833172,-70.19430668331421,38.405782116759454,9.806546773457004
5002.809,-45.070089999997435,-75.35329965318371,-75.37005868741194,-115.31024174806169,-70.24015174806425,37.62664082800908,9.806629894617211
5002.91,-45.16609999999946,-74.61613939626672,-74.59165059711069,-114.53183365776042,-69.36573365776096,36.733109043477384,9.806556426187532
5003.01,-45.21019999999976,-76.51276748654767,-76.53521307537785,-116.4753961360276,-71.26519613602784,37.24064714797529,9.806531045685828
5003.11,-45.2525000000137,-76.9118529597711,-76.88912334235906,-116.82930640300879,-71.57680640299509,38.6603323834651,9.80662835739175
5003.21,-45.05109999999968,-76.91722164737732,-76.92907038016305,-116.8692534408128,-71.81815344081312,37.35703414351841,9.80655483337548
5003.31,-45.077499999996235,-76.9801639878065,-76.97787826992918,-116.91806133057892,-71.84056133058269,37.910944330100776,9.80663411675994
5003.41,-45.21540000000164,-75.1992525952568,-75.19014407091194,-115.13032713156167,-69.91492713156003,37.119105592672895,9.80661602032016
5003.509,-45.11370000000056,-75.10877204791119,-75.11782851698399,-115.05801157763372,-69.94431157763316,37.21084788069199,9.806525576879917
5003.61,-45.04880000000094,-75.32997951157111,-75.33089296118139,-115.27107602183113,-70.2222760218302,37.76454421808901,9.806644150778594
5003.71,-45.03640000000064,-73.30372223055177,-73.2974182163987,-113.23760127704844,-68.2012012770478,37.31121279186727,9.806617508601017
5003.81,-45.030599999998,-73.09676564120358,-73.10494560535022,-113.04512866599995,-68.01452866600195,36.790392767677815,9.806648054253808
5003.91,-45.124499999997624,-74.64250657650237,-74.6459352734954,-114.58611833414514,-69.46161833414752,37.26090444420264,9.806601922174673
5004.01,-45.26010000000042,-73.72297309529608,-73.73526532114198,-113.67544838179171,-68.41534838179129,37.23109856020905,9.806609855602495
