episode_idx,time_sec,dr_E_m,dr_N_m,gt_E_m,gt_N_m,drift_m
3,28,-174.62303,-168.08675,74.26583,-262.36185,266.14557
3,29,-184.10526,-171.13177,83.68944,-270.34766,285.58322
3,30,-194.36241,-174.26144,94.58157,-278.30032,307.10373
3,31,-205.24612,-177.72235,106.53254,-285.9451,330.0274
3,32,-215.21054,-181.35619,118.918915,-293.3121,352.38702
3,33,-223.6981,-185.59576,131.2022,-300.40277,373.00787
3,34,-230.93492,-190.31708,143.5379,-307.44498,392.36316
3,35,-237.40256,-195.54405,155.56897,-314.60324,410.6114
3,36,-243.42197,-201.28926,167.28113,-322.00565,428.07648
3,37,-249.10759,-207.32025,178.93341,-329.30212,445.0828
3,38,-254.54933,-213.5288,190.40869,-336.24234,461.5693
3,39,-259.67688,-219.97314,201.5466,-343.08228,477.37088
3,40,-263.98807,-226.98384,212.55249,-350.137,492.19672
3,41,-266.84283,-234.67577,223.67393,-357.43573,505.64487
3,42,-266.7522,-242.85284,235.16182,-364.72485,516.4983
3,43,-263.8376,-250.5627,247.02402,-371.83057,525.05756
3,44,-259.895,-258.1825,259.15005,-378.30728,532.7642
3,45,-255.43616,-265.9728,271.32248,-385.39395,540.126
3,46,-250.883,-273.69382,283.85498,-392.80664,547.84357
3,47,-246.37329,-281.43457,296.86078,-398.49313,555.7031
3,48,-241.83824,-289.5788,310.19977,-402.6585,563.5007
3,49,-237.5216,-298.239,323.19284,-406.66107,571.10077
3,50,-233.33797,-307.40417,335.91696,-412.3973,578.85645
3,51,-229.10431,-317.12823,348.30896,-418.19995,586.19244
3,52,-224.8637,-327.08383,361.80392,-422.62024,594.39557
3,53,-220.68,-337.5694,375.0142,-428.0223,602.52246
3,54,-216.8588,-348.5666,388.24445,-433.06143,610.9741
3,55,-212.98337,-359.9694,401.48767,-439.18906,619.55664
3,56,-209.01892,-371.79498,414.87192,-445.8374,628.2691
3,57,-205.28326,-383.41666,427.77975,-453.2352,636.90137
3,58,-202.55466,-393.4676,440.37863,-460.77032,646.44635
3,59,-200.29446,-402.33643,452.89102,-468.16257,656.494
3,60,-198.0245,-411.85504,465.7244,-474.501,666.69867
4,1,7.935028,-4.807338,10.7889595,-6.858035,3.5142968
4,2,15.507378,-8.891209,23.175335,-14.225033,9.340624
4,3,22.752266,-11.783559,35.45862,-21.31571,15.884373
4,4,29.92677,-13.726763,47.794323,-28.357908,23.09372
4,5,37.20581,-14.922759,59.82539,-35.516193,30.589783
4,6,44.523323,-15.512833,71.53755,-42.9186,38.481743
4,7,51.822056,-15.715018,83.189835,-50.21508,46.62823
4,8,59.089634,-15.652801,94.66511,-57.155293,54.663254
4,9,66.32835,-15.245956,105.80301,-63.995216,62.7275
4,10,73.46103,-13.970848,116.808914,-71.04993,71.673294
4,11,80.18512,-11.3407,127.93035,-78.34869,82.27805
4,12,85.50016,-6.4942017,139.41823,-85.637794,95.76464
4,13,88.85864,-0.06090164,151.28043,-92.74351,111.7432
4,14,91.56718,7.0256233,163.40646,-99.22021,128.25389
4,15,94.09771,14.592892,175.5789,-106.30691,145.79419
4,16,96.52818,22.18717,188.1114,-113.71958,163.8845
4,17,98.999825,29.771408,201.1172,-119.40607,180.7813
4,18,101.73815,37.650658,214.45619,-123.57146,196.71788
4,19,104.96667,45.73012,227.44926,-127.57403,212.21762
4,20,108.631676,54.06353,240.17339,-133.31024,228.93701
4,21,112.66776,62.81935,252.56538,-139.1129,245.65825
4,22,116.86967,71.74745,266.06033,-143.53317,261.92288
4,23,121.48958,81.00414,279.2706,-148.93526,278.8673
4,24,126.70159,90.36279,292.50085,-153.97437,295.2796
4,25,132.1817,100.047264,305.74408,-160.102,312.7324
4,26,137.92162,110.09338,319.12833,-166.75034,330.87506
4,27,143.66599,119.862656,332.0362,-174.14813,349.1786
